Point ID,CriticalType,NodeId,Points:0,Points:1,Points:2,Points_Magnitude,RegionSize,RegionSpan,Scalar,VertexId
161,1,161,-0.990649,0.136435,0.118423,1.00699,0,1,0.537262,2415
162,1,162,0.845991,0.533198,0.118462,1.00699,0,0,0.537439,452
163,1,163,0.401995,0.915642,0.118685,1.00702,0,1,0.538444,930
164,1,164,0.371015,-0.928627,0.119135,1.00707,1,1,0.540478,4093
165,1,165,-0.399716,0.916639,0.119908,1.00716,2,1,0.543975,1593
166,1,166,-0.993737,0.111744,0.120218,1.0072,1,0,0.545375,2435
167,1,167,-0.98634,-0.164724,0.120794,1.00727,0,1,0.54798,2658
168,1,168,0.889163,0.45759,0.121001,1.00729,0,1,0.548915,382
169,1,169,-0.535827,0.844328,0.121318,1.00733,0,0,0.550347,1717
170,1,170,-0.639339,0.768925,0.121338,1.00733,4,0,0.550438,1820
171,1,171,-0.555635,0.831426,0.121976,1.00741,1,1,0.553322,1736
172,1,172,0.602284,0.798282,0.122308,1.00745,1,1,0.554823,743
173,1,173,0.444821,-0.89562,0.12251,1.00748,2,1,0.555739,4158
174,1,174,0.900815,0.434204,0.122681,1.0075,0,1,0.556509,361
175,1,175,0.794897,-0.606744,0.123068,1.00754,2,1,0.558257,4526
176,1,176,0.822685,0.568498,0.123236,1.00756,0,1,0.559017,486
177,1,177,-0.840641,-0.541592,0.123304,1.00757,0,1,0.559327,2985
178,1,178,0.350127,0.936702,0.123603,1.00761,0,0,0.560677,975
179,1,179,0.109889,0.993944,0.123604,1.00761,4,1,0.56068,1174
180,1,180,-0.231176,-0.972912,0.124063,1.00767,3,1,0.562757,3600
181,1,181,-0.358271,0.933618,0.124793,1.00776,3,1,0.566057,1557
182,1,182,-0.262523,-0.964926,0.125183,1.0078,1,1,0.567821,3574
183,1,183,-0.481208,0.876606,0.125247,1.00781,12,1,0.568111,1666
184,1,184,-0.47684,-0.87899,0.12643,1.00796,1,0,0.573457,3388
185,1,185,-0.0727211,-0.997352,0.126499,1.00797,1,0,0.57377,3729
186,1,186,-0.155513,-0.987834,0.12697,1.00803,10,1,0.575897,3662
187,1,187,0.670363,0.742034,0.127925,1.00815,2,1,0.580216,672
188,1,188,-0.922264,-0.38656,0.128446,1.00822,4,1,0.582572,2844
189,1,189,0.942866,-0.333171,0.128809,1.00826,1,1,0.584213,4777
190,1,190,0.0192838,0.999814,0.129095,1.0083,6,0,0.585503,1247
191,1,191,-0.664805,0.747017,0.129364,1.00833,0,1,0.586719,1847
192,1,192,0.162882,-0.986645,0.12947,1.00835,0,1,0.587198,3919
193,1,193,-0.816986,0.576658,0.129544,1.00836,39,1,0.587532,2031
194,1,194,0.519977,-0.854181,0.133033,1.00881,10,0,0.603304,4227
195,1,195,0.898642,-0.438682,0.133578,1.00888,6,1,0.605768,4685
196,1,196,-0.999554,-0.0298561,0.133888,1.00892,121,1,0.607171,2549
197,1,197,-0.202026,0.97938,0.140352,1.0098,4607,2,0.636393,1426
198,3,198,0.854504,-0.519445,1,1.41421,4607,2,4.5224,4611
