Point ID,Loss,points_0,points_1,points_2,points_Magnitude,RegionSize,RegionSpan,RegionType,SegmentationId
4446,0.578381,0.73067,-0.682731,0.127519,1.0081,10,1.9169,2,149
4447,1.38491,0.731519,-0.681821,0.305936,1.04575,4607,2.02527,1,159
4448,1.03427,0.732366,-0.680911,0.22837,1.02574,4607,2.02527,1,159
4449,1.5552,0.733213,-0.679999,0.343607,1.05739,4607,2.02527,1,159
4450,1.36943,0.734059,-0.679086,0.302511,1.04476,4607,2.02527,1,159
4451,1.07853,0.734903,-0.678172,0.23816,1.02797,4607,2.02527,1,159
4452,1.16046,0.735746,-0.677258,0.256285,1.03232,4607,2.02527,1,159
4453,2.10816,0.736588,-0.676341,0.465931,1.10322,4607,2.02527,1,159
4454,1.55992,0.737429,-0.675425,0.344652,1.05773,4607,2.02527,1,159
4455,0.914599,0.738269,-0.674507,0.201896,1.02018,4607,2.02527,1,159
4456,1.00165,0.739107,-0.673588,0.221153,1.02416,4607,2.02527,1,159
4457,1.64863,0.739945,-0.672667,0.364276,1.06428,4607,2.02527,1,159
4458,1.43071,0.740781,-0.671746,0.316067,1.04876,4607,2.02527,1,159
4459,1.0591,0.741616,-0.670824,0.233862,1.02698,4607,2.02527,1,159
4460,1.71107,0.742451,-0.669901,0.378088,1.06909,4607,2.02527,1,159
4461,1.03651,0.743284,-0.668976,0.228865,1.02586,4607,2.02527,1,159
4462,1.16609,0.744115,-0.668051,0.257529,1.03263,4607,2.02527,1,159
4463,0.750024,0.744946,-0.667125,0.165489,1.0136,4607,2.02527,1,159
4464,1.08108,0.745776,-0.666197,0.238724,1.0281,4607,2.02527,1,159
4465,0.979261,0.746604,-0.665269,0.2162,1.0231,4607,2.02527,1,159
4466,1.39935,0.747431,-0.66434,0.309131,1.04669,4607,2.02527,1,159
4467,0.706227,0.748257,-0.663409,0.155801,1.01206,4607,2.02527,1,159
4468,0.660939,0.749082,-0.662478,0.145782,1.01057,4607,2.02527,1,159
4469,1.27983,0.749905,-0.661545,0.282691,1.03919,4607,2.02527,1,159
4470,2.12067,0.750728,-0.660612,0.468698,1.10439,4607,2.02527,1,159
4471,0.748928,0.751549,-0.659677,0.165247,1.01356,4607,2.02527,1,159
4472,0.787856,0.752369,-0.658741,0.173858,1.015,4607,2.02527,1,159
4473,1.3259,0.753188,-0.657805,0.292882,1.04201,4607,2.02527,1,159
4474,1.60448,0.754006,-0.656867,0.354508,1.06098,4607,2.02527,1,159
4475,0.868901,0.754823,-0.655928,0.191787,1.01823,4607,2.02527,1,159
4476,1.08823,0.755639,-0.654989,0.240306,1.02847,4607,2.02527,1,159
4477,1.10212,0.756453,-0.654048,0.243378,1.02919,4607,2.02527,1,159
